Q,A
부산광역시 연제구 토곡로 42에 있는태권도관련 장애인 스포츠 강좌를 추천 및 정보를 알려줘,"부산 연제구에 있는 체육시설의 상세 주소는 부산광역시 연제구 토곡로 42 박창용태권도으로, 우편번호가 47585이고, 이용 가능한 종목은 태권도입니다. 제공하는 강좌의 강좌명은 박창용태권도이며, 강좌는 (6, 7, 8, 9)월에 개최되며, 가격은 110000원입니다. "
부산광역시 연제구 화지로 109에 있는수영관련 장애인 스포츠 강좌를 추천 및 정보를 알려줘,"부산 연제구에 있는 체육시설의 상세 주소는 부산광역시 연제구 화지로 109 부산곰두리스포츠센터으로, 우편번호가 47529이고, 이용 가능한 종목은 수영입니다. 제공하는 강좌의 강좌명은 성인재활수영B(보호자동반)이며, 강좌는 (7, 8)월에 개최되며, 가격은 24000원입니다. "
부산광역시 영도구 조내기로 40에 있는태권도관련 장애인 스포츠 강좌를 추천 및 정보를 알려줘,"부산 영도구에 있는 체육시설의 상세 주소는 부산광역시 영도구 조내기로 40 일신체육관으로, 우편번호가 49086이고, 이용 가능한 종목은 태권도입니다. 제공하는 강좌의 강좌명은 태권도 실기이며, 강좌는 (1, 2, 3, 4, 5, 6, 7, 8, 9, 10)월에 개최되며, 가격은 110000원입니다. "
부산광역시 영도구 해양로301번길 36에 있는탁구관련 장애인 스포츠 강좌를 추천 및 정보를 알려줘,"부산 영도구에 있는 체육시설의 상세 주소는 부산광역시 영도구 해양로301번길 36 사단법인부산탁구스포츠클럽으로, 우편번호가 49111이고, 이용 가능한 종목은 탁구입니다. 제공하는 강좌의 강좌명은 장애인탁구교실이며, 강좌는 (1, 3, 4, 5, 6, 7, 8, 9)월에 개최되며, 가격은 110000원입니다. "
부산광역시 중구 영주로 89에 있는기타종목관련 장애인 스포츠 강좌를 추천 및 정보를 알려줘,"부산 중구에 있는 체육시설의 상세 주소는 부산광역시 중구 영주로 89 부산중구스포츠클럽으로, 우편번호가 48905이고, 이용 가능한 종목은 기타종목입니다. 제공하는 강좌의 강좌명은 24년_발달장애인클라이밍이며, 강좌는 (7, 8)월에 개최되며, 가격은 110000원입니다. "
부산광역시 중구 영주로 89에 있는헬스관련 장애인 스포츠 강좌를 추천 및 정보를 알려줘,"부산 중구에 있는 체육시설의 상세 주소는 부산광역시 중구 영주로 89 중구웰빙체육관으로, 우편번호가 48905이고, 이용 가능한 종목은 헬스입니다. 제공하는 강좌의 강좌명은 2024년_웰빙_헬스이며, 강좌는 (7, 8, 9)월에 개최되며, 가격은 44000원입니다. "
부산광역시 해운대구 구남로29번길 26에 있는탁구관련 장애인 스포츠 강좌를 추천 및 정보를 알려줘,"부산 해운대구에 있는 체육시설의 상세 주소는 부산광역시 해운대구 구남로29번길 26 최준환탁구클럽으로, 우편번호가 48095이고, 이용 가능한 종목은 탁구입니다. 제공하는 강좌의 강좌명은 생활체육탁구교실이며, 강좌는 (1, 3, 7, 8, 9)월에 개최되며, 가격은 110000원입니다. "
부산광역시 해운대구 선수촌로 122에 있는수영관련 장애인 스포츠 강좌를 추천 및 정보를 알려줘,"부산 해운대구에 있는 체육시설의 상세 주소는 부산광역시 해운대구 선수촌로 122 더스포츠센터으로, 우편번호가 48037이고, 이용 가능한 종목은 수영입니다. 제공하는 강좌의 강좌명은 수영개인레슨(1회당)이며, 강좌는 (1, 2, 6, 7, 8, 9)월에 개최되며, 가격은 110000원입니다. "
부산광역시 해운대구 선수촌로 122에 있는수영관련 장애인 스포츠 강좌를 추천 및 정보를 알려줘,"부산 해운대구에 있는 체육시설의 상세 주소는 부산광역시 해운대구 선수촌로 122 더스포츠센터으로, 우편번호가 48037이고, 이용 가능한 종목은 수영입니다. 제공하는 강좌의 강좌명은 수영레슨이며, 강좌는 (1, 2, 3, 4, 5, 6, 7, 8, 9, 10)월에 개최되며, 가격은 110000원입니다. "
부산광역시 해운대구 선수촌로 122에 있는태권도관련 장애인 스포츠 강좌를 추천 및 정보를 알려줘,"부산 해운대구에 있는 체육시설의 상세 주소는 부산광역시 해운대구 선수촌로 122 인지태권도으로, 우편번호가 48037이고, 이용 가능한 종목은 태권도입니다. 제공하는 강좌의 강좌명은 인지태권도이며, 강좌는 (6, 7)월에 개최되며, 가격은 100000원입니다. "
부산광역시 해운대구 우동1로 82에 있는태권도관련 장애인 스포츠 강좌를 추천 및 정보를 알려줘,"부산 해운대구에 있는 체육시설의 상세 주소는 부산광역시 해운대구 우동1로 82 무일체육관으로, 우편번호가 48085이고, 이용 가능한 종목은 태권도입니다. 제공하는 강좌의 강좌명은 태권도이며, 강좌는 (1, 2, 3, 4, 5, 6, 7, 8, 9)월에 개최되며, 가격은 130000원입니다. "
부산광역시 해운대구 우동3로11번길 15에 있는기타종목관련 장애인 스포츠 강좌를 추천 및 정보를 알려줘,"부산 해운대구에 있는 체육시설의 상세 주소는 부산광역시 해운대구 우동3로11번길 15 도담아동발달센터으로, 우편번호가 48086이고, 이용 가능한 종목은 기타종목입니다. 제공하는 강좌의 강좌명은 감각통합및 실내스포츠이며, 강좌는 (1, 2, 3, 4, 5, 6, 7, 8, 9)월에 개최되며, 가격은 110000원입니다. "
부산광역시 해운대구 재반로 141에 있는태권도관련 장애인 스포츠 강좌를 추천 및 정보를 알려줘,"부산 해운대구에 있는 체육시설의 상세 주소는 부산광역시 해운대구 재반로 141 명성바른자세태권도으로, 우편번호가 48051이고, 이용 가능한 종목은 태권도입니다. 제공하는 강좌의 강좌명은 태권도이며, 강좌는 (2, 3, 4, 5, 6, 7, 8)월에 개최되며, 가격은 110000원입니다. "
부산광역시 해운대구 재반로 239에 있는헬스관련 장애인 스포츠 강좌를 추천 및 정보를 알려줘,"부산 해운대구에 있는 체육시설의 상세 주소는 부산광역시 해운대구 재반로 239 미라클랜드 휘트니스으로, 우편번호가 48028이고, 이용 가능한 종목은 헬스입니다. 제공하는 강좌의 강좌명은 헬스이며, 강좌는 (7)월에 개최되며, 가격은 110000원입니다. "
부산광역시 해운대구 재반로27번길 38-12에 있는축구(풋살)관련 장애인 스포츠 강좌를 추천 및 정보를 알려줘,"부산 해운대구에 있는 체육시설의 상세 주소는 부산광역시 해운대구 재반로27번길 38-12 후니으로, 우편번호가 48056이고, 이용 가능한 종목은 축구(풋살)입니다. 제공하는 강좌의 강좌명은 축구이며, 강좌는 (7)월에 개최되며, 가격은 110000원입니다. "
부산광역시 해운대구 재송1로60번길 36에 있는골프관련 장애인 스포츠 강좌를 추천 및 정보를 알려줘,"부산 해운대구에 있는 체육시설의 상세 주소는 부산광역시 해운대구 재송1로60번길 36 해송스크린골프연습장으로, 우편번호가 48055이고, 이용 가능한 종목은 골프입니다. 제공하는 강좌의 강좌명은 스크린골프이용권이며, 강좌는 (1, 2, 3, 4, 5, 6, 7, 8)월에 개최되며, 가격은 33000원입니다. "
부산광역시 해운대구 재송1로60번길 36에 있는골프관련 장애인 스포츠 강좌를 추천 및 정보를 알려줘,"부산 해운대구에 있는 체육시설의 상세 주소는 부산광역시 해운대구 재송1로60번길 36 해송스크린골프연습장으로, 우편번호가 48055이고, 이용 가능한 종목은 골프입니다. 제공하는 강좌의 강좌명은 스크린골프이용권이며, 강좌는 (1, 2, 3, 4, 5, 6, 7, 8)월에 개최되며, 가격은 63000원입니다. "
부산광역시 해운대구 재송1로60번길 36에 있는골프관련 장애인 스포츠 강좌를 추천 및 정보를 알려줘,"부산 해운대구에 있는 체육시설의 상세 주소는 부산광역시 해운대구 재송1로60번길 36 해송스크린골프연습장으로, 우편번호가 48055이고, 이용 가능한 종목은 골프입니다. 제공하는 강좌의 강좌명은 스크린타석자유이용권이며, 강좌는 (1, 3, 4, 5, 6, 7, 8)월에 개최되며, 가격은 110000원입니다. "
부산광역시 해운대구 재송2로 30에 있는태권도관련 장애인 스포츠 강좌를 추천 및 정보를 알려줘,"부산 해운대구에 있는 체육시설의 상세 주소는 부산광역시 해운대구 재송2로 30 재송체육관으로, 우편번호가 48052이고, 이용 가능한 종목은 태권도입니다. 제공하는 강좌의 강좌명은 태권도이며, 강좌는 (1, 2, 3, 4, 5, 6, 7, 8, 9)월에 개최되며, 가격은 110000원입니다. "
부산광역시 해운대구 좌동순환로 11에 있는기타종목관련 장애인 스포츠 강좌를 추천 및 정보를 알려줘,"부산 해운대구에 있는 체육시설의 상세 주소는 부산광역시 해운대구 좌동순환로 11 정아동발달센터 해운대점으로, 우편번호가 48084이고, 이용 가능한 종목은 기타종목입니다. 제공하는 강좌의 강좌명은 실내운동 및 감각통합운동, 월 2회 (격주수업)이며, 강좌는 (1, 3, 5, 6, 7, 8, 9)월에 개최되며, 가격은 120000원입니다. "
부산광역시 해운대구 좌동순환로 473에 있는기타종목관련 장애인 스포츠 강좌를 추천 및 정보를 알려줘,"부산 해운대구에 있는 체육시설의 상세 주소는 부산광역시 해운대구 좌동순환로 473 제이앰(J&M)운동센터으로, 우편번호가 48097이고, 이용 가능한 종목은 기타종목입니다. 제공하는 강좌의 강좌명은 재활,교정운동이며, 강좌는 (1, 2, 3, 6, 7, 8, 9, 10, 11)월에 개최되며, 가격은 110000원입니다. "
부산광역시 해운대구 좌동순환로433번길 30-1에 있는필라테스관련 장애인 스포츠 강좌를 추천 및 정보를 알려줘,"부산 해운대구에 있는 체육시설의 상세 주소는 부산광역시 해운대구 좌동순환로433번길 30-1 바이탈필라테스 해운대점으로, 우편번호가 48114이고, 이용 가능한 종목은 필라테스입니다. 제공하는 강좌의 강좌명은 1:4소도구 필라테스1회 체험이며, 강좌는 (7)월에 개최되며, 가격은 22000원입니다. "
부산광역시 해운대구 좌동순환로433번길 30-1에 있는필라테스관련 장애인 스포츠 강좌를 추천 및 정보를 알려줘,"부산 해운대구에 있는 체육시설의 상세 주소는 부산광역시 해운대구 좌동순환로433번길 30-1 바이탈필라테스 해운대점으로, 우편번호가 48114이고, 이용 가능한 종목은 필라테스입니다. 제공하는 강좌의 강좌명은 개인레슨 1회 체험이며, 강좌는 (7, 8, 9)월에 개최되며, 가격은 77000원입니다. "
부산광역시 해운대구 좌동순환로433번길 30-1에 있는필라테스관련 장애인 스포츠 강좌를 추천 및 정보를 알려줘,"부산 해운대구에 있는 체육시설의 상세 주소는 부산광역시 해운대구 좌동순환로433번길 30-1 바이탈필라테스 해운대점으로, 우편번호가 48114이고, 이용 가능한 종목은 필라테스입니다. 제공하는 강좌의 강좌명은 키즈필라테스,발레(주1회)이며, 강좌는 (7, 8, 9)월에 개최되며, 가격은 70000원입니다. "
부산광역시 해운대구 해운대로 663에 있는필라테스관련 장애인 스포츠 강좌를 추천 및 정보를 알려줘,"부산 해운대구에 있는 체육시설의 상세 주소는 부산광역시 해운대구 해운대로 663 한스필라테스으로, 우편번호가 48086이고, 이용 가능한 종목은 필라테스입니다. 제공하는 강좌의 강좌명은 4:1그룹 필라테스이며, 강좌는 (1, 2, 3, 4, 5, 6, 7, 8, 9)월에 개최되며, 가격은 110000원입니다. "
부산광역시 해운대구 해운대로 814에 있는기타종목관련 장애인 스포츠 강좌를 추천 및 정보를 알려줘,"부산 해운대구에 있는 체육시설의 상세 주소는 부산광역시 해운대구 해운대로 814 장산아이즈연구소으로, 우편번호가 48111이고, 이용 가능한 종목은 기타종목입니다. 제공하는 강좌의 강좌명은 감각재활(월1회)이며, 강좌는 (7)월에 개최되며, 가격은 58000원입니다. "
부산광역시 해운대구 해운대로 814에 있는기타종목관련 장애인 스포츠 강좌를 추천 및 정보를 알려줘,"부산 해운대구에 있는 체육시설의 상세 주소는 부산광역시 해운대구 해운대로 814 장산아이즈연구소으로, 우편번호가 48111이고, 이용 가능한 종목은 기타종목입니다. 제공하는 강좌의 강좌명은 감각재활(월2회)이며, 강좌는 (1, 2, 3, 4, 5, 6, 7, 8, 9, 10)월에 개최되며, 가격은 116000원입니다. "
부산시 해운대구 재반로79에 있는기타종목관련 장애인 스포츠 강좌를 추천 및 정보를 알려줘,"부산 해운대구에 있는 체육시설의 상세 주소는 부산시 해운대구 재반로79 이룸특수체육연구소으로, 우편번호가 48056이고, 이용 가능한 종목은 기타종목입니다. 제공하는 강좌의 강좌명은 특수체육1 (학교체육전반, 육상)이며, 강좌는 (7, 8, 9, 10)월에 개최되며, 가격은 110000원입니다. "
부산시 해운대구 재반로79에 있는기타종목관련 장애인 스포츠 강좌를 추천 및 정보를 알려줘,"부산 해운대구에 있는 체육시설의 상세 주소는 부산시 해운대구 재반로79 이룸특수체육연구소으로, 우편번호가 48056이고, 이용 가능한 종목은 기타종목입니다. 제공하는 강좌의 강좌명은 특수체육2 (학교체육전반, 농구)이며, 강좌는 (1, 2, 3, 4, 5, 6, 7, 8)월에 개최되며, 가격은 110000원입니다. "
부산시 해운대구 재반로79에 있는기타종목관련 장애인 스포츠 강좌를 추천 및 정보를 알려줘,"부산 해운대구에 있는 체육시설의 상세 주소는 부산시 해운대구 재반로79 이룸특수체육연구소으로, 우편번호가 48056이고, 이용 가능한 종목은 기타종목입니다. 제공하는 강좌의 강좌명은 특수체육3 (줄넘기)이며, 강좌는 (1, 2, 3, 4, 5, 6, 7, 8, 9)월에 개최되며, 가격은 110000원입니다. "
부산시 해운대구 재반로79에 있는기타종목관련 장애인 스포츠 강좌를 추천 및 정보를 알려줘,"부산 해운대구에 있는 체육시설의 상세 주소는 부산시 해운대구 재반로79 이룸특수체육연구소으로, 우편번호가 48056이고, 이용 가능한 종목은 기타종목입니다. 제공하는 강좌의 강좌명은 특수체육5 (학교체육전반, 요가)이며, 강좌는 (1, 2, 3, 4, 5, 6, 7, 8)월에 개최되며, 가격은 110000원입니다. "
서울특별시 강남구 남부순환로 3318에 있는헬스관련 장애인 스포츠 강좌를 추천 및 정보를 알려줘,"서울 강남구에 있는 체육시설의 상세 주소는 서울특별시 강남구 남부순환로 3318 서울특별시립강남주민편익시설으로, 우편번호가 6340이고, 이용 가능한 종목은 헬스입니다. 제공하는 강좌의 강좌명은 헬스이며, 강좌는 (6, 7)월에 개최되며, 가격은 69000원입니다. "
서울특별시 강남구 논현로 804에 있는헬스관련 장애인 스포츠 강좌를 추천 및 정보를 알려줘,"서울 강남구에 있는 체육시설의 상세 주소는 서울특별시 강남구 논현로 804 스타트레인으로, 우편번호가 6026이고, 이용 가능한 종목은 헬스입니다. 제공하는 강좌의 강좌명은 신체움직임 클래스(헬스)이며, 강좌는 (1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11)월에 개최되며, 가격은 110000원입니다. "
서울특별시 강남구 도곡로 419에 있는필라테스관련 장애인 스포츠 강좌를 추천 및 정보를 알려줘,"서울 강남구에 있는 체육시설의 상세 주소는 서울특별시 강남구 도곡로 419 인더비기닝 재활운동센터으로, 우편번호가 6208이고, 이용 가능한 종목은 필라테스입니다. 제공하는 강좌의 강좌명은 1:1 DNS 재활운동(총 50분 소요)이며, 강좌는 (6, 7, 8, 9)월에 개최되며, 가격은 110000원입니다. "
서울특별시 강남구 밤고개로21길 25에 있는태권도관련 장애인 스포츠 강좌를 추천 및 정보를 알려줘,"서울 강남구에 있는 체육시설의 상세 주소는 서울특별시 강남구 밤고개로21길 25 용태권도교육관으로, 우편번호가 6370이고, 이용 가능한 종목은 태권도입니다. 제공하는 강좌의 강좌명은 태권도이며, 강좌는 (7, 8, 9)월에 개최되며, 가격은 110000원입니다. "
서울특별시 강남구 선릉로 320에 있는기타종목관련 장애인 스포츠 강좌를 추천 및 정보를 알려줘,"서울 강남구에 있는 체육시설의 상세 주소는 서울특별시 강남구 선릉로 320 대치통합발달심리센터으로, 우편번호가 6205이고, 이용 가능한 종목은 기타종목입니다. 제공하는 강좌의 강좌명은 수중운동이며, 강좌는 (1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12)월에 개최되며, 가격은 110000원입니다. "
서울특별시 강남구 선릉로 320에 있는기타종목관련 장애인 스포츠 강좌를 추천 및 정보를 알려줘,"서울 강남구에 있는 체육시설의 상세 주소는 서울특별시 강남구 선릉로 320 대치통합발달심리센터으로, 우편번호가 6205이고, 이용 가능한 종목은 기타종목입니다. 제공하는 강좌의 강좌명은 특수체육이며, 강좌는 (1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11)월에 개최되며, 가격은 110000원입니다. "
서울특별시 강남구 학동로4길 18에 있는헬스관련 장애인 스포츠 강좌를 추천 및 정보를 알려줘,"서울 강남구에 있는 체육시설의 상세 주소는 서울특별시 강남구 학동로4길 18 포텐PT으로, 우편번호가 6110이고, 이용 가능한 종목은 헬스입니다. 제공하는 강좌의 강좌명은 1:1 PT 2회 (+헬스 1개월)이며, 강좌는 (1, 5, 6, 7, 8, 9, 10)월에 개최되며, 가격은 110000원입니다. "
서울특별시 강남구 헌릉로 569에 있는기타종목관련 장애인 스포츠 강좌를 추천 및 정보를 알려줘,"서울 강남구에 있는 체육시설의 상세 주소는 서울특별시 강남구 헌릉로 569 새로운운동발달센터으로, 우편번호가 6376이고, 이용 가능한 종목은 기타종목입니다. 제공하는 강좌의 강좌명은 유산소 운동및 스포츠 참여이며, 강좌는 (1, 2, 3, 4, 5, 6, 7, 8, 10)월에 개최되며, 가격은 110000원입니다. "
서울특별시 강동구 고덕로 100-5에 있는기타종목관련 장애인 스포츠 강좌를 추천 및 정보를 알려줘,"서울 강동구에 있는 체육시설의 상세 주소는 서울특별시 강동구 고덕로 100-5 강동그린나래복지센터으로, 우편번호가 5255이고, 이용 가능한 종목은 기타종목입니다. 제공하는 강좌의 강좌명은 발달장애인을 위한 건강증진운동이며, 강좌는 (2, 3, 4, 5, 6, 7, 8, 9, 10)월에 개최되며, 가격은 110000원입니다. "
서울특별시 강동구 고덕로83길 14에 있는필라테스관련 장애인 스포츠 강좌를 추천 및 정보를 알려줘,"서울 강동구에 있는 체육시설의 상세 주소는 서울특별시 강동구 고덕로83길 14 바디멀티필라테스 상일동역점으로, 우편번호가 5222이고, 이용 가능한 종목은 필라테스입니다. 제공하는 강좌의 강좌명은 필라테스 개인레슨 2회수강권이며, 강좌는 (1, 5, 6, 7)월에 개최되며, 가격은 110000원입니다. "
서울특별시 강동구 구천면로 258에 있는태권도관련 장애인 스포츠 강좌를 추천 및 정보를 알려줘,"서울 강동구에 있는 체육시설의 상세 주소는 서울특별시 강동구 구천면로 258 경희대청무체육관으로, 우편번호가 5330이고, 이용 가능한 종목은 태권도입니다. 제공하는 강좌의 강좌명은 경희대청무태권도장이며, 강좌는 (3, 5, 6, 7, 8, 9)월에 개최되며, 가격은 110000원입니다. "
서울특별시 강동구 구천면로 304에 있는탁구관련 장애인 스포츠 강좌를 추천 및 정보를 알려줘,"서울 강동구에 있는 체육시설의 상세 주소는 서울특별시 강동구 구천면로 304 코리아탁구체육관으로, 우편번호가 5310이고, 이용 가능한 종목은 탁구입니다. 제공하는 강좌의 강좌명은 코리아탁구체육관 장애인탁구교실 A이며, 강좌는 (1, 2, 3, 4, 5, 7, 9)월에 개최되며, 가격은 110000원입니다. "
서울특별시 강동구 구천면로 304에 있는탁구관련 장애인 스포츠 강좌를 추천 및 정보를 알려줘,"서울 강동구에 있는 체육시설의 상세 주소는 서울특별시 강동구 구천면로 304 코리아탁구체육관으로, 우편번호가 5310이고, 이용 가능한 종목은 탁구입니다. 제공하는 강좌의 강좌명은 코리아탁구체육관 장애인탁구교실 B이며, 강좌는 (1, 2, 3, 7, 9)월에 개최되며, 가격은 110000원입니다. "
서울특별시 강동구 구천면로 645에 있는기타종목관련 장애인 스포츠 강좌를 추천 및 정보를 알려줘,"서울 강동구에 있는 체육시설의 상세 주소는 서울특별시 강동구 구천면로 645 한국시각장애인복지관으로, 우편번호가 5275이고, 이용 가능한 종목은 기타종목입니다. 제공하는 강좌의 강좌명은 체력증진교실 A반이며, 강좌는 (1, 2, 3, 4, 5, 6, 7)월에 개최되며, 가격은 11000원입니다. "
서울특별시 강동구 구천면로 645에 있는기타종목관련 장애인 스포츠 강좌를 추천 및 정보를 알려줘,"서울 강동구에 있는 체육시설의 상세 주소는 서울특별시 강동구 구천면로 645 한국시각장애인복지관으로, 우편번호가 5275이고, 이용 가능한 종목은 기타종목입니다. 제공하는 강좌의 강좌명은 체력증진교실 B반이며, 강좌는 (1, 2, 3, 4, 5, 6, 7)월에 개최되며, 가격은 11000원입니다. "
서울특별시 강동구 동남로65길 56에 있는태권도관련 장애인 스포츠 강좌를 추천 및 정보를 알려줘,"서울 강동구에 있는 체육시설의 상세 주소는 서울특별시 강동구 동남로65길 56 석사체육관으로, 우편번호가 5271이고, 이용 가능한 종목은 태권도입니다. 제공하는 강좌의 강좌명은 태권도이며, 강좌는 (1, 2, 3, 4, 5, 6, 7, 8)월에 개최되며, 가격은 170000원입니다. "
서울특별시 강동구 동남로75길 13-15에 있는필라테스관련 장애인 스포츠 강좌를 추천 및 정보를 알려줘,"서울 강동구에 있는 체육시설의 상세 주소는 서울특별시 강동구 동남로75길 13-15 필라테스엠 고덕역점으로, 우편번호가 5269이고, 이용 가능한 종목은 필라테스입니다. 제공하는 강좌의 강좌명은 1대1 개인레슨 1회체험권이며, 강좌는 (7, 8)월에 개최되며, 가격은 65000원입니다. "
서울특별시 강동구 동남로81길 82에 있는태권도관련 장애인 스포츠 강좌를 추천 및 정보를 알려줘,"서울 강동구에 있는 체육시설의 상세 주소는 서울특별시 강동구 동남로81길 82 실전경찰태권도으로, 우편번호가 5227이고, 이용 가능한 종목은 태권도입니다. 제공하는 강좌의 강좌명은 태권도이며, 강좌는 (1, 2, 4, 5, 6, 7, 8, 9)월에 개최되며, 가격은 110000원입니다. "
서울특별시 강동구 명일로 113에 있는탁구관련 장애인 스포츠 강좌를 추천 및 정보를 알려줘,"서울 강동구에 있는 체육시설의 상세 주소는 서울특별시 강동구 명일로 113 둔촌탁구교실으로, 우편번호가 5371이고, 이용 가능한 종목은 탁구입니다. 제공하는 강좌의 강좌명은 둔촌탁구교실(레슨)이며, 강좌는 (1, 2, 3, 4, 5, 6, 7, 8)월에 개최되며, 가격은 110000원입니다. "
서울특별시 강동구 상암로 425에 있는유도관련 장애인 스포츠 강좌를 추천 및 정보를 알려줘,"서울 강동구에 있는 체육시설의 상세 주소는 서울특별시 강동구 상암로 425 상일유도스쿨으로, 우편번호가 5284이고, 이용 가능한 종목은 유도입니다. 제공하는 강좌의 강좌명은 유도이며, 강좌는 (1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12)월에 개최되며, 가격은 110000원입니다. "
서울특별시 강동구 상일로12길 99에 있는태권도관련 장애인 스포츠 강좌를 추천 및 정보를 알려줘,"서울 강동구에 있는 체육시설의 상세 주소는 서울특별시 강동구 상일로12길 99 멘토태권키즈짐으로, 우편번호가 5285이고, 이용 가능한 종목은 태권도입니다. 제공하는 강좌의 강좌명은 태권도이며, 강좌는 (1, 2, 3, 4, 5, 6, 7, 8, 9)월에 개최되며, 가격은 110000원입니다. "
서울특별시 강동구 성내로 19에 있는기타종목관련 장애인 스포츠 강좌를 추천 및 정보를 알려줘,"서울 강동구에 있는 체육시설의 상세 주소는 서울특별시 강동구 성내로 19 신창민 심리운동센터으로, 우편번호가 5392이고, 이용 가능한 종목은 기타종목입니다. 제공하는 강좌의 강좌명은 심리운동이며, 강좌는 (1, 2, 3, 4, 5, 6, 7, 8, 9)월에 개최되며, 가격은 110000원입니다. "
서울특별시 강동구 아리수로 427에 있는수영관련 장애인 스포츠 강좌를 추천 및 정보를 알려줘,"서울 강동구에 있는 체육시설의 상세 주소는 서울특별시 강동구 아리수로 427 나우어린이수영으로, 우편번호가 5211이고, 이용 가능한 종목은 수영입니다. 제공하는 강좌의 강좌명은 어린이수영이며, 강좌는 (1, 2, 3, 5, 6, 7, 8, 9)월에 개최되며, 가격은 110000원입니다. "
서울특별시 강동구 아리수로93나길 38에 있는기타종목관련 장애인 스포츠 강좌를 추천 및 정보를 알려줘,"서울 강동구에 있는 체육시설의 상세 주소는 서울특별시 강동구 아리수로93나길 38 짱키드짐으로, 우편번호가 5415이고, 이용 가능한 종목은 기타종목입니다. 제공하는 강좌의 강좌명은 특수체육 &amp; 놀이체육이며, 강좌는 (3, 4, 5, 6, 7, 8, 9)월에 개최되며, 가격은 110000원입니다. "
서울특별시 강동구 아리수로93나길 50에 있는태권도관련 장애인 스포츠 강좌를 추천 및 정보를 알려줘,"서울 강동구에 있는 체육시설의 상세 주소는 서울특별시 강동구 아리수로93나길 50 강일 퍼스트 태권도장으로, 우편번호가 5415이고, 이용 가능한 종목은 태권도입니다. 제공하는 강좌의 강좌명은 강일 퍼스트 태권도장이며, 강좌는 (1, 2, 3, 4, 5, 6, 7, 8, 9)월에 개최되며, 가격은 110000원입니다. "
서울특별시 강동구 아리수로93나길 54에 있는헬스관련 장애인 스포츠 강좌를 추천 및 정보를 알려줘,"서울 강동구에 있는 체육시설의 상세 주소는 서울특별시 강동구 아리수로93나길 54 머슬비치짐으로, 우편번호가 5415이고, 이용 가능한 종목은 헬스입니다. 제공하는 강좌의 강좌명은 헬스 1개월이며, 강좌는 (1, 2, 3, 4, 5, 6, 7, 12)월에 개최되며, 가격은 110000원입니다. "
서울특별시 강동구 아리수로93나길 60에 있는필라테스관련 장애인 스포츠 강좌를 추천 및 정보를 알려줘,"서울 강동구에 있는 체육시설의 상세 주소는 서울특별시 강동구 아리수로93나길 60 NK번지필라테스으로, 우편번호가 5415이고, 이용 가능한 종목은 필라테스입니다. 제공하는 강좌의 강좌명은 그룹 필라테스이며, 강좌는 (1, 2, 3, 4, 5, 6, 7, 8, 9)월에 개최되며, 가격은 110000원입니다. "
서울특별시 강동구 양재대로 1597에 있는기타종목관련 장애인 스포츠 강좌를 추천 및 정보를 알려줘,"서울 강동구에 있는 체육시설의 상세 주소는 서울특별시 강동구 양재대로 1597 햇빛아동청소년발달센터으로, 우편번호가 5306이고, 이용 가능한 종목은 기타종목입니다. 제공하는 강좌의 강좌명은 감각재활운동이며, 강좌는 (1, 7)월에 개최되며, 가격은 110000원입니다. "
서울특별시 강동구 양재대로 1597에 있는기타종목관련 장애인 스포츠 강좌를 추천 및 정보를 알려줘,"서울 강동구에 있는 체육시설의 상세 주소는 서울특별시 강동구 양재대로 1597 햇빛아동청소년발달센터으로, 우편번호가 5306이고, 이용 가능한 종목은 기타종목입니다. 제공하는 강좌의 강좌명은 특수체육,심리운동이며, 강좌는 (1, 2, 3, 4, 5, 6, 7, 8, 9)월에 개최되며, 가격은 110000원입니다. "
서울특별시 강동구 양재대로 1597에 있는기타종목관련 장애인 스포츠 강좌를 추천 및 정보를 알려줘,"서울 강동구에 있는 체육시설의 상세 주소는 서울특별시 강동구 양재대로 1597 햇빛아동청소년발달센터으로, 우편번호가 5306이고, 이용 가능한 종목은 기타종목입니다. 제공하는 강좌의 강좌명은 평일 오전 특수체육이며, 강좌는 (1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12)월에 개최되며, 가격은 160000원입니다. "
서울특별시 강동구 양재대로124길 32에 있는헬스관련 장애인 스포츠 강좌를 추천 및 정보를 알려줘,"서울 강동구에 있는 체육시설의 상세 주소는 서울특별시 강동구 양재대로124길 32 뉴힐링라이프 재활운동센터 강동점으로, 우편번호가 5303이고, 이용 가능한 종목은 헬스입니다. 제공하는 강좌의 강좌명은 맞춤재활운동이며, 강좌는 (1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12)월에 개최되며, 가격은 110000원입니다. "
서울특별시 강동구 양재대로124길 32에 있는헬스관련 장애인 스포츠 강좌를 추천 및 정보를 알려줘,"서울 강동구에 있는 체육시설의 상세 주소는 서울특별시 강동구 양재대로124길 32 뉴힐링라이프 재활운동센터 강동점으로, 우편번호가 5303이고, 이용 가능한 종목은 헬스입니다. 제공하는 강좌의 강좌명은 메타아카데미전용이며, 강좌는 (1, 2, 3, 4, 5, 6, 7, 8, 9)월에 개최되며, 가격은 64000원입니다. "
